,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
1959,1090.416558,1074.638638,765.3459142,1455.634394,457.4479532,2468.608255,1686.62411,1481.893858,1195.471023,2023.945757,812.3504064,812.3504064,1301.912901,1620.244145,1497.563921,2224.446669,1435.709993,1220.180393,1124.575334
1960,1096.293092,1195.374785,724.501206,1442.729213,477.2083952,2292.953163,1788.780515,1461.697963,1278.173527,2037.097363,910.6107851,910.6107851,1307.136959,1624.220312,1451.384752,2148.917924,1424.421214,1188.479409,1118.40705
1961,1120.839466,1306.190212,701.9985096,1544.923439,445.2216619,2247.57933,1770.013655,1478.782146,1178.254153,2199.415086,827.5864457,827.5864457,1201.058796,1596.994867,1429.380186,2113.395144,1340.704253,1168.252893,1164.885635
1962,1153.761978,1235.766249,688.1089644,1538.655461,436.5436309,2323.705246,1714.430894,1501.739491,1062.922808,2325.791792,767.0373036,767.0373036,1234.122365,1543.729189,1512.810203,2113.481572,1351.211467,1200.518923,1158.597928
1963,1202.439955,1318.398108,654.6453412,1664.421991,423.7186582,2227.546889,1713.101922,1495.077146,1100.184082,2342.027776,746.383453,746.383453,1266.178398,1579.236161,1491.083038,2170.286283,1463.273864,1169.903852,1077.321051
1964,1187.352168,1374.368961,651.6017565,1697.050634,441.8381431,2127.637247,1620.729119,1453.729024,1110.646715,2321.664346,692.1536326,692.1536326,1325.794157,1719.336308,1425.252602,2274.721058,1571.898547,1353.368983,1111.222962
1965,1150.537054,1394.254859,668.1346674,1666.739256,457.9829006,1934.524236,1743.510589,1508.574404,1105.031088,2288.019052,680.2398039,680.2398039,1444.844165,1849.702852,1478.15432,2297.268629,1642.265224,2418.478737,1178.205072
1966,1115.74765,1377.519844,765.9771553,1624.624525,447.1166106,1949.05531,1795.493192,1485.801162,1253.274034,2187.023641,635.8118709,635.8118709,1629.377873,1698.247878,1515.697509,2360.389438,1499.714496,3276.117101,1114.358967
1967,1098.288722,1476.384293,819.1760479,1792.27604,459.5796343,1883.474382,1837.384465,1488.807836,1281.273122,2102.15479,580.7345385,580.7345385,1670.19647,1713.978855,1494.930246,2465.352559,1419.22386,3297.472233,1056.798539
1968,1117.12968,1529.479028,769.7215327,1884.030019,455.6812421,2118.645323,1839.194486,1436.508173,1309.429635,2167.783589,590.608055,590.608055,1672.376309,1787.972716,1568.113749,2452.23442,1321.838041,3320.700547,1012.176495
